,DIST_NAME,INCOME,,,DIST_NAME_other spreadsheet (MikesData)
115,Hamilton Township School District,73415,,,Somerset County Educational Services Commission
116,Hammonton Town School District,68655,,,Newark Public School District
117,Harding Township School District,183587,,,Montvale Board Of Education School District
118,Harmony Township School District,87000,,,Moonachie School District
119,Harrison Town School District,61168,,,New Milford Public School District
120,Hasbrouck Heights Borough School District,86993,,,New Milford Public School District
121,Hawthorne Borough School District,93675,,,New Milford Public School District
122,Hi-Nella Borough School District,45132,,,New Milford Public School District
123,Highland Park Borough School District,75913,,,North Arlington School District
124,Hillsborough Township School District,119511,,,North Arlington School District
125,Hillside Township School District,65717,,,North Arlington School District
126,Ho-Ho-Kus Borough School District,176518,,,North Arlington School District
127,Hoboken City School District,127523,,,North Arlington School District
128,Holmdel Township School District,155842,,,Northern Highlands Regional High School District
129,Hopatcong Borough School District,79613,,,Northern Valley Regional High School District
130,Hope Township School District,91852,,,Northern Valley Regional High School District
131,Hopewell Valley Regional School District,127458,,,Norwood Public School District
132,Interlaken Borough School District,145893,,,Oakland Public School District
133,Irvington Township School District,39734,,,Oakland Public School District
134,Jackson Township School District,88063,,,Oakland Public School District
135,Jamesburg Borough School District,83095,,,Oakland Public School District
136,Jefferson Township School District,97440,,,Old Tappan Public School District
137,Jersey City School District,62739,,,Old Tappan Public School District
138,Keansburg Borough School District,46250,,,Oradell Public School District
139,Kearny Town School District,63271,,,Palisades Park School District
140,Kenilworth Borough School District,108281,,,Palisades Park School District
141,Keyport Borough School District,56935,,,Paramus Public School District
142,Kinnelon Borough School District,147267,,,Paramus Public School District
143,Lacey Township School District,78649,,,Margate City School District
144,Lakehurst Borough School District,62262,,,Mullica Township School District
145,Lakewood Township School District,45321,,,Mullica Township School District
146,Laurel Springs Borough School District,82250,,,Northfield City School District
147,Lavallette Borough School District,68098,,,Northfield City School District
148,Lawnside Borough School District,64103,,,Pleasantville Public School District
149,Lawrence Township School District (Cumberland County),73277,,,Pleasantville Public School District
150,Lawrence Township School District (Mercer County),96529,,,Pleasantville Public School District
151,Leonia Borough School District,89744,,,Pleasantville Public School District
152,Lincoln Park Borough School District,91285,,,Pleasantville Public School District
153,Linden City School District,66538,,,Pleasantville Public School District
154,Lindenwold Borough School District,41346,,,Port Republic School District
155,Longport Borough School District,106719,,,Somers Point School District
156,Little Ferry Borough School District,61341,,,Somers Point School District
157,Livingston Township School District,153381,,,Ventnor City School District
158,Lodi Borough School District,57188,,,Ventnor City School District
159,Logan Township School District,105804,,,Weymouth Township School District
160,Long Branch City School District,54398,,,Franklin Lakes School District
161,Lopatcong Township School District,78153,,,Garfield Public School District
162,Lower Alloways Creek Township School District,84688,,,Palisades Park School District
163,Pennsville Township School District,62134,,,Waldwick School District
164,Lyndhurst Township School District,73218,,,Bordentown Regional School District
165,Madison Borough School District,127948,,,Lenape Regional High School District
166,Old Bridge Township School District,88540,,,Lumberton Township Board Of Education
167,Mahwah Township School District,107215,,,Mansfield Township School District
168,Manasquan Borough School District,106298,,,Medford Township School District
169,Manchester Township School District,41689,,,Medford Township School District
170,Mannington Township School District,81667,,,Camden City School District
171,Manville Borough School District,67080,,,Orange Board Of Education School District
172,Maple Shade Township School District,57460,,,Essex Regional Educational Services Commission
173,Margate City School District,69896,,,Swedesboro-Woolwich School District
174,Matawan-Aberdeen Regional School District,91536,,,Jersey City Public Schools
175,Maurice River Township School District,72455,,,Jersey City Public Schools
176,Maywood Borough School District,86100,,,Union City School District
177,Merchantville Borough School District,70563,,,Union City School District
178,Metuchen Borough School District,116632,,,West New York Board Of Education
179,Middle Township School District,62249,,,Flemington-Raritan Regional School District
180,Middlesex Borough School District,73196,,,Hunterdon County Educational Services Commission
181,Middletown Township School District,105035,,,Fairfield Township School District
182,Midland Park Borough School District,105313,,,Deptford Township Public School District
183,Millburn Township School District,202862,,,Hunterdon County Vocational School District
184,Millstone Township School District,156891,,,Tewksbury Township School District
185,Milltown Borough School District,99704,,,Educational Services Commission Of New Jersey
186,Millville City School District,49950,,,West Orange Public Schools
187,Mine Hill Township School District,84904,,,Monmouth County Vocational School District
188,Monroe Township School District (Gloucester County),74800,,,Barnegat Township School District
189,Monroe Township School District (Middlesex County),78263,,,Ocean County Vocational Technical School District
190,Montague Township School District,70329,,,Egg Harbor Township School District
191,Montclair Town School District,113293,,,Egg Harbor Township School District
192,Montgomery Township School District,176737,,,Cresskill Public School District
193,Montville Township School District,134752,,,Burlington Township School District
194,Moonachie Borough School District,59700,,,Newark Public School District
195,Moorestown Township School District,133902,,,Swedesboro-Woolwich School District
196,Morris Plains Borough School District,125229,,,Harrison Public Schools
197,Morris Township School District,109393,,,Allamuchy Township School District
198,Mount Arlington Borough School District,90625,,,Paterson Public School District
199,Mount Ephraim Borough School District,67340,,,Paterson Public School District
200,Mount Olive Township School District,86773,,,Paterson Public School District
201,Mountain Lakes Borough School District,175556,,,Paterson Public School District
202,Mountainside Borough School District,129405,,,Paterson Public School District
203,Neptune City School District,58936,,,Paterson Public School District
204,Neptune Township School District,67836,,,Passaic City School District
205,New Brunswick City School District,38413,,,Northern Region Educational Services Commission
206,New Hanover Township School District,58676,,,Union City School District
207,New Milford Borough School District,84025,,,Union City School District
208,New Providence Borough School District,129638,,,Union City School District
209,Newark City School District,34826,,,Elizabeth Public Schools
210,Newfield Elementary School District,74226,,,Elizabeth Public Schools
211,Newton Town School District,63661,,,Elizabeth Public Schools
212,North Arlington Borough School District,74481,,,Elizabeth Public Schools
213,North Bergen Township School District,57269,,,Elizabeth Public Schools
214,North Brunswick Township School District,88723,,,Newark Public School District
215,North Plainfield Borough School District,71895,,,Union City School District
216,North Wildwood City School District,45629,,,Clinton Township School District
217,Nutley Town School District,93691,,,Monroe Township School District
218,Oaklyn Borough School District,65301,,,Manalapan-Englishtown Regional Schools School District
219,Ocean City School District,72715,,,Millstone Township School District
220,Ocean Township School District (Monmouth County),83125,,,Paterson Public School District
221,Ocean Township School District (Ocean County),67288,,,Paterson Public School District
222,Oldmans Township School District,78636,,,Elizabeth Public Schools
223,Orange City Township School District,38645,,,Perth Amboy Public School District
224,Oxford Township School District,82578,,,Plainfield Public School District
225,Palisades Park Borough School District,64589,,,North Hanover Township School District
226,Palmyra Borough School District,68307,,,Educational Services Commission Of New Jersey
227,Paramus Borough School District,105114,,,Summit Public School District
228,Park Ridge Borough School District,106875,,,Summit Public School District
229,Parsippany-Troy Hills Township School District,93915,,,Area Vocational Technical Schools Of Mercer County
230,Passaic City School District,34920,,,Trenton Public School District
231,Paterson City School District,36106,,,Trenton Public School District
232,Paulsboro Borough School District,46429,,,Trenton Public School District
233,Pemberton Township School District,63128,,,Trenton Public School District
234,Penns Grove-Carneys Point Regional School District,48944,,,Trenton Public School District
235,Pennsauken Township School District,67495,,,Trenton Public School District
236,Pequannock Township School District,94237,,,Hopewell Valley Regional School District
237,Perth Amboy City School District,50883,,,Hopewell Valley Regional School District
