,DIST_NAME,INCOME,,,DIST_NAME_other spreadsheet (MikesData)
113,Haddon Township School District,86360,,,Fort Lee School District
114,Haddonfield Borough School District,139034,,,Edgewater School District
115,Hamilton Township School District,73415,,,Elmwood Park School District
116,Hammonton Town School District,68655,,,Elmwood Park School District
117,Harding Township School District,183587,,,Elmwood Park School District
118,Harmony Township School District,87000,,,Elmwood Park School District
119,Harrison Town School District,61168,,,Elmwood Park School District
120,Hasbrouck Heights Borough School District,86993,,,Emerson Public School District
121,Hawthorne Borough School District,93675,,,Emerson Public School District
122,Hi-Nella Borough School District,45132,,,Emerson Public School District
123,Highland Park Borough School District,75913,,,Englewood Public School District
124,Hillsborough Township School District,119511,,,Englewood Public School District
125,Hillside Township School District,65717,,,Englewood Public School District
126,Ho-Ho-Kus Borough School District,176518,,,Englewood Public School District
127,Hoboken City School District,127523,,,Edgewater Park Township School District
128,Holmdel Township School District,155842,,,Evesham Township School District
129,Hopatcong Borough School District,79613,,,Evesham Township School District
130,Hope Township School District,91852,,,Evesham Township School District
131,Hopewell Valley Regional School District,127458,,,Evesham Township School District
132,Interlaken Borough School District,145893,,,Evesham Township School District
133,Irvington Township School District,39734,,,Evesham Township School District
134,Jackson Township School District,88063,,,Evesham Township School District
135,Jamesburg Borough School District,83095,,,Evesham Township School District
136,Jefferson Township School District,97440,,,Florence Township School District
137,Jersey City School District,62739,,,Florence Township School District
138,Keansburg Borough School District,46250,,,Florence Township School District
139,Kearny Town School District,63271,,,Hainesport Township School District
140,Kenilworth Borough School District,108281,,,Lenape Regional High School District
141,Keyport Borough School District,56935,,,Lenape Regional High School District
142,Kinnelon Borough School District,147267,,,Medford Township School District
143,Lacey Township School District,78649,,,Moorestown Township Public School District
144,Lakehurst Borough School District,62262,,,Moorestown Township Public School District
145,Lakewood Township School District,45321,,,Moorestown Township Public School District
146,Laurel Springs Borough School District,82250,,,Moorestown Township Public School District
147,Lavallette Borough School District,68098,,,Moorestown Township Public School District
148,Lawnside Borough School District,64103,,,Moorestown Township Public School District
149,Lawrence Township School District (Cumberland County),73277,,,Mount Holly Township Public School District
150,Lawrence Township School District (Mercer County),96529,,,Mount Holly Township Public School District
151,Leonia Borough School District,89744,,,Mount Holly Township Public School District
152,Lincoln Park Borough School District,91285,,,Mount Laurel Township School District
153,Linden City School District,66538,,,Mount Laurel Township School District
154,Lindenwold Borough School District,41346,,,Mount Laurel Township School District
155,Longport Borough School District,106719,,,Pemberton Township School District
156,Little Ferry Borough School District,61341,,,Pemberton Township School District
157,Livingston Township School District,153381,,,Rancocas Valley Regional High School District
158,Lodi Borough School District,57188,,,Riverside Township School District
159,Logan Township School District,105804,,,Riverside Township School District
160,Long Branch City School District,54398,,,Riverside Township School District
161,Lopatcong Township School District,78153,,,Riverton School District
162,Lower Alloways Creek Township School District,84688,,,Shamong Township School District
163,Pennsville Township School District,62134,,,Shamong Township School District
164,Lyndhurst Township School District,73218,,,Southampton Township School District
165,Madison Borough School District,127948,,,Southampton Township School District
166,Old Bridge Township School District,88540,,,Southampton Township School District
167,Mahwah Township School District,107215,,,Springfield Township School District
168,Manasquan Borough School District,106298,,,Tabernacle Township School District
169,Manchester Township School District,41689,,,Tabernacle Township School District
170,Mannington Township School District,81667,,,Westampton Township Public School District
171,Manville Borough School District,67080,,,Westampton Township Public School District
172,Maple Shade Township School District,57460,,,Willingboro Public School District
173,Margate City School District,69896,,,Haddon Township School District
174,Matawan-Aberdeen Regional School District,91536,,,Bridgeton City School District
175,Maurice River Township School District,72455,,,Irvington Public School District
176,Maywood Borough School District,86100,,,Irvington Public School District
177,Merchantville Borough School District,70563,,,Irvington Public School District
178,Metuchen Borough School District,116632,,,Franklin Lakes School District
179,Middle Township School District,62249,,,Franklin Lakes School District
180,Middlesex Borough School District,73196,,,Franklin Lakes School District
181,Middletown Township School District,105035,,,Garfield Public School District
182,Midland Park Borough School District,105313,,,Garfield Public School District
183,Millburn Township School District,202862,,,Garfield Public School District
184,Millstone Township School District,156891,,,Garfield Public School District
185,Milltown Borough School District,99704,,,Garfield Public School District
186,Millville City School District,49950,,,Garfield Public School District
187,Mine Hill Township School District,84904,,,Garfield Public School District
188,Monroe Township School District (Gloucester County),74800,,,Garfield Public School District
189,Monroe Township School District (Middlesex County),78263,,,Garfield Public School District
190,Montague Township School District,70329,,,Glen Rock Public School District
191,Montclair Town School District,113293,,,Glen Rock Public School District
192,Montgomery Township School District,176737,,,Glen Rock Public School District
193,Montville Township School District,134752,,,Glen Rock Public School District
194,Moonachie Borough School District,59700,,,Glen Rock Public School District
195,Moorestown Township School District,133902,,,Glen Rock Public School District
196,Morris Plains Borough School District,125229,,,Hackensack School District
197,Morris Township School District,109393,,,Hackensack School District
198,Mount Arlington Borough School District,90625,,,Hackensack School District
199,Mount Ephraim Borough School District,67340,,,Hackensack School District
200,Mount Olive Township School District,86773,,,Hackensack School District
201,Mountain Lakes Borough School District,175556,,,Harrington Park School District
202,Mountainside Borough School District,129405,,,Hasbrouck Heights School District
203,Neptune City School District,58936,,,Hasbrouck Heights School District
204,Neptune Township School District,67836,,,Hasbrouck Heights School District
205,New Brunswick City School District,38413,,,Hasbrouck Heights School District
206,New Hanover Township School District,58676,,,Haworth Public School District
207,New Milford Borough School District,84025,,,Hillsdale School District
208,New Providence Borough School District,129638,,,Hillsdale School District
209,Newark City School District,34826,,,Hillsdale School District
210,Newfield Elementary School District,74226,,,Ho-Ho-Kus School District
211,Newton Town School District,63661,,,Leonia Public School District
212,North Arlington Borough School District,74481,,,Leonia Public School District
213,North Bergen Township School District,57269,,,Leonia Public School District
214,North Brunswick Township School District,88723,,,Little Ferry Public School District
215,North Plainfield Borough School District,71895,,,Little Ferry Public School District
216,North Wildwood City School District,45629,,,Lodi School District
217,Nutley Town School District,93691,,,Lodi School District
218,Oaklyn Borough School District,65301,,,Lodi School District
219,Ocean City School District,72715,,,Lodi School District
220,Ocean Township School District (Monmouth County),83125,,,Lodi School District
221,Ocean Township School District (Ocean County),67288,,,Lodi School District
222,Oldmans Township School District,78636,,,Lodi School District
223,Orange City Township School District,38645,,,Lyndhurst School District
224,Oxford Township School District,82578,,,Lyndhurst School District
225,Palisades Park Borough School District,64589,,,Paterson Public School District
226,Palmyra Borough School District,68307,,,Pascack Valley Regional High School District
227,Paramus Borough School District,105114,,,Asbury Park School District
228,Park Ridge Borough School District,106875,,,Long Branch Public School District
229,Parsippany-Troy Hills Township School District,93915,,,Lindenwold Public School District
230,Passaic City School District,34920,,,Logan Township School District
231,Paterson City School District,36106,,,Woodstown-Pilesgrove Regional School District
232,Paulsboro Borough School District,46429,,,Ocean County Vocational Technical School District
233,Pemberton Township School District,63128,,,Salem County Special Services School District
234,Penns Grove-Carneys Point Regional School District,48944,,,Trenton Public School District
235,Pennsauken Township School District,67495,,,Trenton Public School District
236,Pequannock Township School District,94237,,,Somerset County Educational Services Commission
237,Perth Amboy City School District,50883,,,Newark Public School District
238,Phillipsburg Town School District,49274,,,Montvale Board Of Education School District
239,Pine Hill Borough School District,51286,,,Moonachie School District
240,Pine Valley Borough School District,51286,,,New Milford Public School District
241,Piscataway Township School District,89617,,,New Milford Public School District
242,Pitman Borough School District,73538,,,New Milford Public School District
243,Pittsgrove Township School District,77537,,,New Milford Public School District
244,Plainfield City School District,56425,,,North Arlington School District
245,Pleasantville City School District,39924,,,North Arlington School District
246,Plumsted Township School District,91438,,,North Arlington School District
247,Pohatcong Township School District,74888,,,North Arlington School District
248,Point Pleasant Borough School District,93276,,,North Arlington School District
249,Point Pleasant Beach Borough School District,92991,,,Northern Highlands Regional High School District
250,Pompton Lakes Borough School District,92952,,,Northern Valley Regional High School District
251,Port Republic City School District,101500,,,Northern Valley Regional High School District
252,Princeton Public Schools,125506,,,Norwood Public School District
