,DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,GRADESPAN,DS_CODE
865,3570,NEWARK CITY,490,LINCOLN,PK-08,3570-490
866,3570,NEWARK CITY,495,LOUISE A SPENCER / MILLER STREET SCHOOL,PK-08,3570-495
867,3570,NEWARK CITY,520,MCKINLEY,PK-08,3570-520
868,3570,NEWARK CITY,565,IVY HILL ELEMENTARY SCHOOL,PK-08,3570-565
869,3570,NEWARK CITY,570,MT VERNON PLACE SCHOOL,PK-08,3570-570
870,3570,NEWARK CITY,575,RAFAEL HERNANDEZ SCHOOL,PK-08,3570-575
871,3570,NEWARK CITY,581,PARK ELEMENTARY SCHOOL,PK-08,3570-581
872,3570,NEWARK CITY,590,OLIVER STREET SCHOOL,PK-08,3570-590
873,3570,NEWARK CITY,605,QUITMAN COMMUNITY SCHOOL,PK-08,3570-605
874,3570,NEWARK CITY,610,RIDGE STREET SCHOOL,PK-08,3570-610
875,3570,NEWARK CITY,615,ROBERTO CLEMENTE ELEMENTARY SCHOOL,PK-04,3570-615
876,3570,NEWARK CITY,640,SOUTH STREET ELEMENTARY SCHOOL,PK-07,3570-640
877,3570,NEWARK CITY,670,SOUTH SEVENTEENTH STREET SCHOOL,PK-08,3570-670
878,3570,NEWARK CITY,690,SPEEDWAY AVENUE SCHOOL,PK-08,3570-690
879,3570,NEWARK CITY,710,SUSSEX AVENUE SCHOOL BURNET STREET  SCHOOL,PK-08,3570-710
880,3570,NEWARK CITY,715,THIRTEENTH AVENUE SCHOOL,PK-08,3570-715
881,3570,NEWARK CITY,750,WILSON AVENUE SCHOOL,PK-08,3570-750
882,3630,NORTH CALDWELL BORO,50,GOULD/MOUNTAIN ELEMENTARY SCHOOL,04-06,3630-50
883,3630,NORTH CALDWELL BORO,60,GRANDVIEW ELEMENTARY SCHOOL,PK-03,3630-60
884,3750,NUTLEY TOWN,50,NUTLEY HIGH SCHOOL,09-12,3750-50
885,3750,NUTLEY TOWN,60,JOHN H. WALKER MIDDLE SCHOOL,07-08,3750-60
886,3750,NUTLEY TOWN,70,LINCOLN SCHOOL,KG-06,3750-70
887,3750,NUTLEY TOWN,80,RADCLIFFE SCHOOL,PK-06,3750-80
888,3750,NUTLEY TOWN,90,SPRING GARDEN SCHOOL,PK-06,3750-90
889,3750,NUTLEY TOWN,100,WASHINGTON SCHOOL,KG-06,3750-100
890,3750,NUTLEY TOWN,110,YANTACAW SCHOOL,KG-06,3750-110
891,3880,CITY OF ORANGE TWP,50,ORANGE HIGH SCHOOL,09-12,3880-50
892,3880,CITY OF ORANGE TWP,70,CLEVELAND STREET ELEMENTARY SCHOOL,PK-07,3880-70
893,3880,CITY OF ORANGE TWP,80,FOREST STREET ELEMENTARY SCHOOL,PK-07,3880-80
894,3880,CITY OF ORANGE TWP,90,HEYWOOD AVENUE ELEMENTARY SCHOOL,PK-07,3880-90
895,3880,CITY OF ORANGE TWP,100,LINCOLN AVENUE ELEMENTARY SCHOOL,PK-07,3880-100
896,3880,CITY OF ORANGE TWP,105,ROSA PARKS/CENTRAL COMMUNITY SCHOOL,PK-07,3880-105
897,3880,CITY OF ORANGE TWP,110,OAKWOOD AVENUE ELEMENTARY SCHOOL,PK-07,3880-110
898,3880,CITY OF ORANGE TWP,115,ORANGE PREPARATORY ACADEMY,08-09,3880-115
899,3880,CITY OF ORANGE TWP,120,PARK AVENUE ELEMENTARY SCHOOL,PK-08,3880-120
900,3880,CITY OF ORANGE TWP,300,ORANGE EARLY CHILDHOOD CENTER,PK-PK,3880-300
901,3880,CITY OF ORANGE TWP,301,CAREER AND INNOVATION ACADEMY OF ORANGE,09-12,3880-301
902,4530,ROSELAND BORO,20,LESTER C NOECKER,PK-06,4530-20
903,4900,SOUTH ORANGE-MAPLEWOOD,30,COLUMBIA HIGH SCHOOL,09-12,4900-30
904,4900,SOUTH ORANGE-MAPLEWOOD,40,MAPLEWOOD MIDDLE SCHOOL,06-08,4900-40
905,4900,SOUTH ORANGE-MAPLEWOOD,50,SOUTH ORANGE MIDDLE SCHOOL,06-08,4900-50
906,4900,SOUTH ORANGE-MAPLEWOOD,60,CLINTON ELEMENTARY SCHOOL,KG-05,4900-60
907,4900,SOUTH ORANGE-MAPLEWOOD,90,JEFFERSON ELEMENTARY SCHOOL,03-05,4900-90
908,4900,SOUTH ORANGE-MAPLEWOOD,100,MARSHALL ELEMENTARY SCHOOL,KG-02,4900-100
909,4900,SOUTH ORANGE-MAPLEWOOD,130,SETH BOYDEN ELEMENTARY DEMONSTRATION SCHOOL,KG-05,4900-130
910,4900,SOUTH ORANGE-MAPLEWOOD,140,SOUTH MOUNTAIN ELEMENTARY SCHOOL,PK-05,4900-140
911,4900,SOUTH ORANGE-MAPLEWOOD,150,TUSCAN ELEMENTARY SCHOOL,KG-05,4900-150
912,4900,SOUTH ORANGE-MAPLEWOOD,300,MONTROSE EARLY CHILDHOOD CENTER,PK-PK,4900-300
913,5370,VERONA BORO,50,VERONA HIGH SCHOOL,09-12,5370-50
914,5370,VERONA BORO,70,BROOKDALE AVENUE SCHOOL,KG-04,5370-70
915,5370,VERONA BORO,80,FREDERIC N. BROWN ELEMENTARY SCHOOL,KG-04,5370-80
916,5370,VERONA BORO,90,FOREST AVENUE SCHOOL,KG-04,5370-90
917,5370,VERONA BORO,95,HENRY B. WHITEHORNE MIDDLE SCHOOL,05-08,5370-95
918,5370,VERONA BORO,100,LANING AVENUE SCHOOL,PK-04,5370-100
919,5630,WEST ESSEX REGIONAL,50,WEST ESSEX HIGH SCHOOL,09-12,5630-50
920,5630,WEST ESSEX REGIONAL,70,WEST ESSEX MIDDLE SCHOOL,07-08,5630-70
921,5680,WEST ORANGE TOWN,50,WEST ORANGE HIGH SCHOOL,09-12,5680-50
922,5680,WEST ORANGE TOWN,70,EDISON MIDDLE SCHOOL,06-06,5680-70
923,5680,WEST ORANGE TOWN,90,ROOSEVELT MIDDLE SCHOOL,07-08,5680-90
924,5680,WEST ORANGE TOWN,120,GREGORY ELEMENTARY SCHOOL,KG-05,5680-120
925,5680,WEST ORANGE TOWN,130,HAZEL AVENUE ELEMENTARY SCHOOL,KG-05,5680-130
926,5680,WEST ORANGE TOWN,135,LIBERTY MIDDLE SCHOOL,07-08,5680-135
927,5680,WEST ORANGE TOWN,140,MOUNT PLEASANT ELEMENTARY SCHOOL,KG-05,5680-140
928,5680,WEST ORANGE TOWN,150,KELLY ELEMENTARY SCHOOL,PK-05,5680-150
929,5680,WEST ORANGE TOWN,160,REDWOOD ELEMENTARY SCHOOL,KG-05,5680-160
930,5680,WEST ORANGE TOWN,170,ST. CLOUD ELEMENTARY SCHOOL,KG-05,5680-170
931,5680,WEST ORANGE TOWN,180,WASHINGTON ELEMENTARY SCHOOL,KG-05,5680-180
932,5680,WEST ORANGE TOWN,300,BETTY MADDALENA EARLY LEARNING CENTER,PK-PK,5680-300
933,860,CLAYTON BORO,30,CLAYTON HIGH SCHOOL,09-12,860-30
934,860,CLAYTON BORO,40,HERMA S. SIMMONS ELEMENTARY SCHOOL,PK-05,860-40
935,860,CLAYTON BORO,45,CLAYTON MIDDLE SCHOOL,06-08,860-45
936,870,CLEARVIEW REGIONAL,20,CLEARVIEW REGIONAL HIGH SCHOOL,09-12,870-20
937,870,CLEARVIEW REGIONAL,30,CLEARVIEW REGIONAL MIDDLE SCHOOL,07-08,870-30
938,1100,DEPTFORD TWP,30,CENTRAL EARLY CHILDHOOD CENTER,PK-01,1100-30
939,1100,DEPTFORD TWP,40,DEPTFORD TOWNSHIP HIGH SCHOOL,09-12,1100-40
940,1100,DEPTFORD TWP,45,MONONGAHELA MIDDLE SCHOOL,07-08,1100-45
941,1100,DEPTFORD TWP,90,GOOD INTENT ELEMENTARY SCHOOL,02-06,1100-90
942,1100,DEPTFORD TWP,105,LAKE TRACT ELEMENTARY SCHOOL,02-06,1100-105
943,1100,DEPTFORD TWP,110,NEW SHARON @ DEPTFORD HIGH SCHOOL,02-12,1100-110
944,1100,DEPTFORD TWP,120,OAK VALLEY ELEMENTARY SCHOOL,02-06,1100-120
945,1100,DEPTFORD TWP,130,PINE ACRES EARLY CHILDHOOD CENTER,PK-01,1100-130
946,1100,DEPTFORD TWP,140,SHADY LANE ELEMENTARY SCHOOL,02-06,1100-140
947,1180,EAST GREENWICH TWP,20,JEFFREY CLARK SCHOOL,PK-02,1180-20
948,1180,EAST GREENWICH TWP,45,SAMUEL MICKLE SCHOOL,03-06,1180-45
949,1330,ELK TWP,10,AURA ELEMENTARY SCHOOL,PK-06,1330-10
950,1590,FRANKLIN TWP,70,CAROLINE L. REUTTER SCHOOL,05-06,1590-70
951,1590,FRANKLIN TWP,80,MARY F. JANVIER SCHOOL,PK-02,1590-80
952,1590,FRANKLIN TWP,95,MAIN ROAD SCHOOL,03-04,1590-95
953,1715,GATEWAY REGIONAL,50,GATEWAY REGIONAL HIGH SCHOOL,07-12,1715-50
954,1730,GLASSBORO,50,GLASSBORO HIGH SCHOOL,09-12,1730-50
955,1730,GLASSBORO,65,DORTHY L. BULLOCK SCHOOL,01-03,1730-65
956,1730,GLASSBORO,78,GLASSBORO INTERMEDIATE SCHOOL,07-08,1730-78
957,1730,GLASSBORO,80,J. HARVEY RODGERS SCHOOL,PK-KG,1730-80
958,1730,GLASSBORO,90,THOMAS E. BOWE SCHOOL,04-06,1730-90
959,1774,GLOUCESTER CO SPEC SERV,15,BANKBRIDGE REGIONAL SCHOOL,PK-12,1774-15
960,1775,GLOUCESTER CO VOCATIONAL,10,GLOUCESTER COUNTY INSTITUTE OF TECHNOLOGY,09-12,1775-10
961,1830,GREENWICH TWP,50,BROAD STREET ELEMENTARY SCHOOL,KG-05,1830-50
962,1830,GREENWICH TWP,60,NEHAUNSEY MIDDLE SCHOOL,06-08,1830-60
963,2070,HARRISON TWP,50,HARRISON TOWNSHIP ELEMENTARY SCHOOL,PK-03,2070-50
964,2070,HARRISON TWP,80,PLEASANT VALLEY SCHOOL,04-06,2070-80
965,2440,KINGSWAY REGIONAL,50,KINGSWAY REGIONAL HIGH SCHOOL,09-12,2440-50
966,2440,KINGSWAY REGIONAL,60,KINGSWAY REGIONAL MIDDLE SCHOOL,07-08,2440-60
967,2750,LOGAN TWP,25,CENTER SQUARE SCHOOL,PK-01,2750-25
968,2750,LOGAN TWP,40,LOGAN TOWNSHIP ELEMENTARY SCHOOL,02-05,2750-40
969,2750,LOGAN TWP,300,LOGAN MIDDLE SCHOOL,06-08,2750-300
970,2990,MANTUA TWP,30,CENTRE CITY ELEMENTARY SCHOOL,PK-03,2990-30
971,2990,MANTUA TWP,40,J. MASON TOMLIN ELEMENTARY SCHOOL,04-06,2990-40
972,2990,MANTUA TWP,50,SEWELL ELEMENTARY SCHOOL,PK-03,2990-50
973,3280,MONROE TWP,50,WILLIAMSTOWN HIGH SCHOOL,09-12,3280-50
974,3280,MONROE TWP,75,HOLLY GLEN ELEMENTARY SCHOOL,PK-04,3280-75
975,3280,MONROE TWP,90,OAK KNOLL ELEMENTARY SCHOOL,KG-04,3280-90
976,3280,MONROE TWP,95,RADIX ELEMENTARY,PK-04,3280-95
977,3280,MONROE TWP,100,WHITEHALL ELEMENTARY SCHOOL,KG-04,3280-100
978,3280,MONROE TWP,110,WILLIAMSTOWN MIDDLE SCHOOL,05-08,3280-110
979,3490,NATIONAL PARK BORO,50,NATIONAL PARK SCHOOL,PK-06,3490-50
980,4020,PAULSBORO BORO,50,PAULSBORO HIGH SCHOOL,09-12,4020-50
981,4020,PAULSBORO BORO,60,BILLINGSPORT ELEMENTARY SCHOOL,PK-02,4020-60
982,4020,PAULSBORO BORO,70,LOUDENSLAGER ELEMENTARY SCHOOL,03-06,4020-70
983,4020,PAULSBORO BORO,300,PAULSBORO JUNIOR HIGH SCHOOL,07-08,4020-300
984,4140,PITMAN BORO,50,PITMAN HIGH SCHOOL,09-12,4140-50
985,4140,PITMAN BORO,60,ELWOOD KINDLE ELEMENTARY SCHOOL,KG-05,4140-60
986,4140,PITMAN BORO,65,MEMORIAL ELEMENTARY SCHOOL,PK-05,4140-65
987,4140,PITMAN BORO,75,PITMAN MIDDLE SCHOOL,06-08,4140-75
988,4140,PITMAN BORO,80,W.C.K. WALLS ELEMENTARY SCHOOL,PK-05,4140-80
989,4880,SOUTH HARRISON TWP,50,SOUTH HARRISON TOWNSHIP ELEMENTARY SCHOOL,PK-06,4880-50
990,4940,DELSEA REGIONAL H.S DIST.,50,DELSEA REGIONAL HIGH SCHOOL,09-12,4940-50
991,4940,DELSEA REGIONAL H.S DIST.,60,DELSEA REGIONAL MIDDLE SCHOOL,07-08,4940-60
992,5120,SWEDESBORO-WOOLWICH,50,GOVERNOR CHARLES C STRATTON,KG-02,5120-50
993,5120,SWEDESBORO-WOOLWICH,60,WALTER HILL SCHOOL,06-06,5120-60
994,5120,SWEDESBORO-WOOLWICH,70,MARGARET C CLIFFORD SCHOOL,PK-KG,5120-70
995,5120,SWEDESBORO-WOOLWICH,80,GENERAL CHARLES G. HARKER SCHOOL,03-05,5120-80
996,5500,WASHINGTON TWP,10,WASHINGTON TOWNSHIP HIGH SCHOOL,09-12,5500-10
997,5500,WASHINGTON TWP,20,BUNKER HILL MIDDLE SCHOOL,06-08,5500-20
998,5500,WASHINGTON TWP,25,BELLS ELEMENTARY SCHOOL,01-05,5500-25
999,5500,WASHINGTON TWP,26,CHESTNUT RIDGE MIDDLE SCHOOL,06-08,5500-26
1000,5500,WASHINGTON TWP,27,BIRCHES ELEMENTARY SCHOOL,KG-05,5500-27
1001,5500,WASHINGTON TWP,28,THOMAS JEFFERSON ELEMENTARY SCHOOL,KG-05,5500-28
1002,5500,WASHINGTON TWP,30,GRENLOCH TERRACE EARLY CHILDHOOD CENTER,PK-KG,5500-30
1003,5500,WASHINGTON TWP,40,HURFFVILLE ELEMENTARY SCHOOL,KG-05,5500-40
1004,5500,WASHINGTON TWP,50,ORCHARD VALLEY MIDDLE SCHOOL,06-08,5500-50
1005,5500,WASHINGTON TWP,60,WEDGWOOD ELEMENTARY SCHOOL,01-05,5500-60
1006,5500,WASHINGTON TWP,70,WHITMAN ELEMENTARY SCHOOL,KG-05,5500-70
1007,5590,WENONAH BORO,50,WENONAH ELEMENTARY SCHOOL,PK-06,5590-50
1008,5620,WEST DEPTFORD TWP,50,WEST DEPTFORD HIGH SCHOOL,09-12,5620-50
1009,5620,WEST DEPTFORD TWP,70,GREEN-FIELDS ELEMENTARY SCHOOL,KG-04,5620-70
1010,5620,WEST DEPTFORD TWP,100,OAKVIEW ELEMENTARY SCHOOL,PK-02,5620-100
1011,5620,WEST DEPTFORD TWP,111,RED BANK ELEMENTARY SCHOOL,KG-02,5620-111
1012,5620,WEST DEPTFORD TWP,130,WEST DEPTFORD MIDDLE SCHOOL,05-08,5620-130
1013,5740,WESTVILLE BORO,40,PARKVIEW ELEMENTARY SCHOOL,PK-06,5740-40
1014,5860,WOODBURY CITY,50,WOODBURY JR-SR HIGH SCHOOL,06-12,5860-50
1015,5860,WOODBURY CITY,90,EVERGREEN AVENUE ELEMENTARY SCHOOL,PK-05,5860-90
1016,5860,WOODBURY CITY,100,WALNUT STREET SCHOOL,PK-05,5860-100
1017,5860,WOODBURY CITY,110,WEST END MEMORIAL ELEMENTARY SCHOOL,PK-05,5860-110
1018,5870,WOODBURY HEIGHTS BORO,50,WOODBURY HEIGHTS ELEMENTARY,PK-06,5870-50
1019,220,BAYONNE CITY,10,BAYONNE ALTERNATIVE HIGH SCHOOL,09-12,220-10
1020,220,BAYONNE CITY,20,BAYONNE HIGH SCHOOL,09-12,220-20
1021,220,BAYONNE CITY,30,WALTER F. ROBINSON COMMUNITY SCHOOL,PK-08,220-30
1022,220,BAYONNE CITY,40,JOHN M. BAILEY COMMUNITY SCHOOL,PK-08,220-40
1023,220,BAYONNE CITY,50,HENRY E. HARRIS COMMUNITY SCHOOL,PK-08,220-50
1024,220,BAYONNE CITY,60,HORACE MANN COMMUNITY SCHOOL,PK-08,220-60
1025,220,BAYONNE CITY,70,LINCOLN COMMUNITY SCHOOL #5,PK-08,220-70
1026,220,BAYONNE CITY,80,MARY J DONOHOE COMMUNITY SCHOOL,PK-08,220-80
1027,220,BAYONNE CITY,85,MIDTOWN COMMUNITY SCHOOL #8,PK-08,220-85
1028,220,BAYONNE CITY,90,PHILIP G. VROOM COMMUNITY SCHOOL,PK-08,220-90
1029,220,BAYONNE CITY,120,WASHINGTON COMMUNITY SCHOOL #9,PK-08,220-120
1030,220,BAYONNE CITY,130,WOODROW WILSON COMMUNITY SCHOOL,PK-08,220-130
1031,220,BAYONNE CITY,140,NICHOLAS ORESKO COMMUNITY SCHOOL,PK-08,220-140
1032,1200,EAST NEWARK BORO,50,EAST NEWARK PUBLIC SCHOOL,PK-08,1200-50
1033,1850,GUTTENBERG TOWN,50,ANNA L. KLEIN,PK-08,1850-50
1034,2060,HARRISON TOWN,50,HARRISON HIGH SCHOOL,09-12,2060-50
1035,2060,HARRISON TOWN,60,LINCOLN ELEMENTARY SCHOOL,PK-03,2060-60
1036,2060,HARRISON TOWN,61,HAMILTON INTERMEDIATE SCHOOL,04-05,2060-61
1037,2060,HARRISON TOWN,70,WASHINGTON MIDDLE SCHOOL,06-08,2060-70
1038,2210,HOBOKEN CITY,5,HOBOKEN HIGH SCHOOL,09-12,2210-5
1039,2210,HOBOKEN CITY,50,JOSEPH F BRANDT SCHOOL,PK-02,2210-50
1040,2210,HOBOKEN CITY,63,SALVATORE R. CALABRO,KG-06,2210-63
1041,2210,HOBOKEN CITY,65,THOMAS G. CONNORS,PK-06,2210-65
1042,2210,HOBOKEN CITY,70,WALLACE ELEMENTARY SCHOOL,PK-06,2210-70
1043,2210,HOBOKEN CITY,300,HOBOKEN MIDDLE SCHOOL,07-08,2210-300
1044,2295,HUDSON COUNTY VOCATIONAL,30,COUNTY PREP HIGH SCHOOL,09-12,2295-30
1045,2295,HUDSON COUNTY VOCATIONAL,50,HIGH TECH HIGH SCHOOL,09-12,2295-50
1046,2295,HUDSON COUNTY VOCATIONAL,90,EXPLORE 2000 MIDDLE SCHOOL,06-08,2295-90
1047,2295,HUDSON COUNTY VOCATIONAL,301,KNOWLEDGE ADVANCED SKILLS,09-12,2295-301
1048,2295,HUDSON COUNTY VOCATIONAL,304,ACADEMY OF TECHNOLOGY DESIGN,09-12,2295-304
1049,2295,HUDSON COUNTY VOCATIONAL,305,BAYONNE ACADEMY,09-12,2295-305
1050,2390,JERSEY CITY,2,INFINITY INSTITUTE,06-12,2390-2
1051,2390,JERSEY CITY,11,REGIONAL DAY SCHOOL,PK-12,2390-11
1052,2390,JERSEY CITY,50,HENRY SNYDER HIGH SCHOOL,09-12,2390-50
1053,2390,JERSEY CITY,60,JAMES J FERRIS HIGH SCHOOL,09-12,2390-60
1054,2390,JERSEY CITY,70,LINCOLN HIGH SCHOOL,09-12,2390-70
1055,2390,JERSEY CITY,75,DR RONALD MCNAIR HIGH SCHOOL,09-12,2390-75
1056,2390,JERSEY CITY,80,WILLIAM L DICKINSON HIGH SCHOOL,09-12,2390-80
1057,2390,JERSEY CITY,82,LIBERTY HIGH SCHOOL,09-12,2390-82
1058,2390,JERSEY CITY,95,ACADEMY I,06-08,2390-95
1059,2390,JERSEY CITY,100,FRANK R CONWELL SCHOOL,PK-05,2390-100
1060,2390,JERSEY CITY,105,MIDDLE SCHOOL # 4,06-08,2390-105
1061,2390,JERSEY CITY,110,DR. MICHAEL CONTI SCHOOL,PK-08,2390-110
1062,2390,JERSEY CITY,120,CHARLES E. TREFURT SCHOOL,PK-05,2390-120
1063,2390,JERSEY CITY,140,"MARTIN LUTHER KING, JR. SCHOOL",PK-08,2390-140
1064,2390,JERSEY CITY,150,JULIA A. BARNES SCHOOL,PK-08,2390-150
1065,2390,JERSEY CITY,155,FRANKLIN L. WILLIAMS SCHOOL,06-08,2390-155
1066,2390,JERSEY CITY,160,"OLLIE CULBRETH, JR. SCHOOL",PK-08,2390-160
1067,2390,JERSEY CITY,170,"WHITNEY M. YOUNG, JR. SCHOOL",PK-08,2390-170
1068,2390,JERSEY CITY,190,DR. MAY ANGELOU ELEMENTARY SCHOOL,PK-05,2390-190
1069,2390,JERSEY CITY,200,REV. DR. ERCEL F. WEBB SCHOOL,PK-05,2390-200
1070,2390,JERSEY CITY,210,MAHATMA K. GANDHI SCHOOL,PK-08,2390-210
1071,2390,JERSEY CITY,220,CHAPLAIN CHARLES WATTERS SCHOOL,KG-08,2390-220
1072,2390,JERSEY CITY,230,NICOLAUS COPERNICUS SCHOOL,PK-05,2390-230
1073,2390,JERSEY CITY,240,ALFRED ZAMPELLA SCHOOL,PK-08,2390-240
1074,2390,JERSEY CITY,250,CHRISTA MCAULIFFE SCHOOL,PK-08,2390-250
1075,2390,JERSEY CITY,260,GLADYS NUNERY SCHOOL,PK-05,2390-260
1076,2390,JERSEY CITY,270,DR. PAUL RAFALIDES SCHOOL,PK-04,2390-270
1077,2390,JERSEY CITY,280,PRESIDENT BARACK OBAMA ELEMENTARY SCHOOL,PK-08,2390-280
1078,2390,JERSEY CITY,300,RAFAEL DE J. CORDERO SCHOOL,PK-08,2390-300
1079,2390,JERSEY CITY,301,INNOVATION HIGH SCHOOL,09-12,2390-301
1080,2390,JERSEY CITY,302,"PATRICIA M. NOONAN SCHOOL, PS #26",PK-05,2390-302
1081,2390,JERSEY CITY,320,ALEXANDER D. SULLIVAN SCHOOL,PK-05,2390-320
1082,2390,JERSEY CITY,330,DR. CHARLES P. DEFUCCIO SCHOOL,PK-08,2390-330
1083,2390,JERSEY CITY,340,CORNELIA F. BRADFORD SCHOOL,PK-05,2390-340
1084,2390,JERSEY CITY,345,EZRA L. NOLAN SCHOOL,06-08,2390-345
1085,2390,JERSEY CITY,347,MARTIN CENTER FOR THE ARTS,PK-08,2390-347
1086,2390,JERSEY CITY,350,JAMES F. MURRAY SCHOOL,PK-08,2390-350
1087,2390,JERSEY CITY,360,JOSEPH H. BRENSINGER SCHOOL,PK-08,2390-360
1088,2390,JERSEY CITY,370,JOTHAM W. WAKEMAN SCHOOL,PK-05,2390-370
1089,2410,KEARNY TOWN,50,KEARNY HIGH SCHOOL,09-12,2410-50
1090,2410,KEARNY TOWN,70,FRANKLIN ELEMENTARY SCHOOL,PK-06,2410-70
1091,2410,KEARNY TOWN,80,GARFIELD ELEMENTARY SCHOOL,PK-06,2410-80
1092,2410,KEARNY TOWN,90,LINCOLN MIDDLE SCHOOL,07-08,2410-90
1093,2410,KEARNY TOWN,100,ROOSEVELT ELEMENTARY SCHOOL,PK-06,2410-100
1094,2410,KEARNY TOWN,110,SCHUYLER ELEMENTARY SCHOOL,PK-06,2410-110
1095,2410,KEARNY TOWN,120,WASHINGTON ELEMENTARY SCHOOL,PK-06,2410-120
1096,3610,NORTH BERGEN TWP,50,NORTH BERGEN HIGH SCHOOL,09-12,3610-50
1097,3610,NORTH BERGEN TWP,60,FRANKLIN ELEMENTARY SCHOOL,01-08,3610-60
1098,3610,NORTH BERGEN TWP,70,HORACE MANN ELEMENTARY SCHOOL,01-08,3610-70
1099,3610,NORTH BERGEN TWP,80,JOHN F KENNEDY ELEMENTARY SCHOOL,01-08,3610-80
1100,3610,NORTH BERGEN TWP,90,LINCOLN ELEMENTARY SCHOOL,PK-08,3610-90
1101,3610,NORTH BERGEN TWP,100,MCKINLEY ELEMENTARY SCHOOL,KG-08,3610-100
1102,3610,NORTH BERGEN TWP,110,ROBERT FULTON ELEMENTARY SCHOOL,KG-08,3610-110
1103,4730,SECAUCUS TOWN,50,SECAUCUS HIGH SCHOOL,09-12,4730-50
1104,4730,SECAUCUS TOWN,65,CLARENDON SCHOOL,PK-05,4730-65
1105,4730,SECAUCUS TOWN,70,HUBER STREET SCHOOL,PK-05,4730-70
1106,4730,SECAUCUS TOWN,80,SECAUCUS MIDDLE SCHOOL,06-08,4730-80
1107,5240,UNION CITY,54,JOSE MARTI FRESHMAN ACADEMY,09-09,5240-54
1108,5240,UNION CITY,55,UNION CITY HIGH SCHOOL,09-12,5240-55
1109,5240,UNION CITY,70,THOMAS A EDISON ELEMENTARY SCHOOL,PK-06,5240-70
1110,5240,UNION CITY,90,HUDSON ELEMENTARY SCHOOL,PK-03,5240-90
1111,5240,UNION CITY,100,JEFFERSON ELEMENTARY SCHOOL,PK-04,5240-100
1112,5240,UNION CITY,105,EMERSON MIDDLE SCHOOL,06-08,5240-105
1113,5240,UNION CITY,110,THEODORE ROOSEVELT ELEMENTARY SCHOOL,PK-06,5240-110
1114,5240,UNION CITY,118,VETERANS' MEMORIAL ELEMENTARY SCHOOL,PK-05,5240-118
1115,5240,UNION CITY,120,GEORGE WASHINGTON ELEMENTARY SCHOOL,PK-06,5240-120
1116,5240,UNION CITY,130,ROBERT WATERS ELEMENTARY SCHOOL,PK-06,5240-130
1117,5240,UNION CITY,140,SARA M. GILMORE ACADEMY,01-08,5240-140
1118,5240,UNION CITY,145,EUGENIO MARIA DE HOSTOS CENTER FOR EARLY CHILDHOOD EDUCATION,PK-KG,5240-145
1119,5240,UNION CITY,150,UNION HILL MIDDLE SCHOOL,07-08,5240-150
1120,5240,UNION CITY,300,COLIN POWELL ELEMENTARY SCHOOL,KG-05,5240-300
1121,5580,WEEHAWKEN TWP,50,WEEHAWKEN HIGH SCHOOL,07-12,5580-50
1122,5580,WEEHAWKEN TWP,70,DANIEL WEBSTER SCHOOL,PK-02,5580-70
1123,5580,WEEHAWKEN TWP,80,THEODORE ROOSEVELT SCHOOL,03-06,5580-80
1124,5670,WEST NEW YORK TOWN,50,MEMORIAL HIGH SCHOOL,09-12,5670-50
1125,5670,WEST NEW YORK TOWN,55,EARLY CHILDHOOD SCHOOL,PK-PK,5670-55
1126,5670,WEST NEW YORK TOWN,60,PUBLIC SCHOOL NUMBER ONE,KG-06,5670-60
1127,5670,WEST NEW YORK TOWN,65,PUBLIC SCHOOL NUMBER TWO,KG-06,5670-65
1128,5670,WEST NEW YORK TOWN,70,ROBERT MENENDEZ ELEMENTARY SCHOOL,KG-06,5670-70
1129,5670,WEST NEW YORK TOWN,80,ALBIO SIRES ELEMENTARY SCHOOL,KG-06,5670-80
1130,5670,WEST NEW YORK TOWN,90,PUBLIC SCHOOL NUMBER FIVE,KG-06,5670-90
1131,5670,WEST NEW YORK TOWN,100,HARRY L BAIN,KG-06,5670-100
1132,5670,WEST NEW YORK TOWN,110,WEST NEW YORK MIDDLE SCHOOL,07-08,5670-110
1133,20,ALEXANDRIA TWP,5,ALEXANDRIA MIDDLE SCHOOL,04-08,20-5
1134,20,ALEXANDRIA TWP,10,LESTER D. WILSON ELEMENTARY SCHOOL,PK-03,20-10
1135,370,BETHLEHEM TWP,20,ETHEL HOPPOCK MIDDLE SCHOOL,06-08,370-20
1136,370,BETHLEHEM TWP,70,THOMAS B. CONLEY ELEMENTARY SCHOOL,PK-05,370-70
1137,430,BLOOMSBURY BORO,20,BLOOMSBURY BOROUGH SCHOOL,PK-08,430-20
1138,670,CALIFON BORO,30,CALIFON ELEMENTARY,PK-08,670-30
1139,910,CLINTON TOWN,30,CLINTON PUBLIC SCHOOL,PK-08,910-30
1140,920,CLINTON TWP,30,SPRUCE RUN,PK-01,920-30
1141,920,CLINTON TWP,35,PATRICK MCGAHERAN,02-03,920-35
1142,920,CLINTON TWP,40,ROUND VALLEY,04-06,920-40
1143,920,CLINTON TWP,50,CLINTON TOWNSHIP MIDDLE SCHOOL,07-08,920-50
1144,1040,DELAWARE TWP,40,DELAWARE TOWNSHIP SCHOOL,PK-08,1040-40
1145,1050,DELAWARE VALLEY REGIONAL,40,DELAWARE VALLEY REGIONAL HIGH SCHOOL,09-12,1050-40
