,DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,GRADESPAN,DS_CODE
649,2840,LOWER TWP,80,CARL T. MITNICK SCHOOL,01-02,2840-80
650,3130,MIDDLE TWP,50,MIDDLE TOWNSHIP HIGH SCHOOL,09-12,3130-50
651,3130,MIDDLE TWP,80,MIDDLE TOWNSHIP ELEMENTARY #1,PK-02,3130-80
652,3130,MIDDLE TWP,85,MIDDLE TOWNSHIP ELEMENTARY #2,03-05,3130-85
653,3130,MIDDLE TWP,91,MIDDLE TOWNSHIP ELEMENTARY #4,06-08,3130-91
654,3680,NORTH WILDWOOD CITY,60,MARGARET MACE ELEMENTARY SCHOOL,PK-08,3680-60
655,3780,OCEAN CITY,50,OCEAN CITY HIGH SCHOOL,09-12,3780-50
656,3780,OCEAN CITY,60,OCEAN CITY INTERMEDIATE SCHOOL,04-08,3780-60
657,3780,OCEAN CITY,70,OCEAN CITY PRIMARY SCHOOL,PK-03,3780-70
658,5060,STONE HARBOR BORO,50,STONE HARBOR ELEMENTARY SCHOOL,KG-04,5060-50
659,5340,UPPER TWP,30,UPPER TOWNSHIP MIDDLE SCHOOL,06-08,5340-30
660,5340,UPPER TWP,50,UPPER TOWNSHIP ELEMENTARY SCHOOL,03-05,5340-50
661,5340,UPPER TWP,55,UPPER TOWNSHIP PRIMARY SCHOOL,PK-02,5340-55
662,5610,WEST CAPE MAY BORO,50,WEST CAPE MAY ELEMENTARY SCHOOL,PK-06,5610-50
663,5790,WILDWOOD CITY,50,WILDWOOD HIGH SCHOOL,09-12,5790-50
664,5790,WILDWOOD CITY,60,GLENWOOD AVENUE ELEMENTARY SCHOOL,PK-05,5790-60
665,5790,WILDWOOD CITY,70,WILDWOOD MIDDLE SCHOOL,06-08,5790-70
666,5800,WILDWOOD CREST BORO,30,CREST MEMORIAL SCHOOL,PK-08,5800-30
667,5840,WOODBINE BORO,50,WOODBINE ELEMENTARY SCHOOL,PK-08,5840-50
668,540,BRIDGETON CITY,20,BRIDGETON HIGH SCHOOL,09-12,540-20
669,540,BRIDGETON CITY,30,BROAD STREET SCHOOL,KG-08,540-30
670,540,BRIDGETON CITY,50,BUCKSHUTEM ROAD SCHOOL,KG-08,540-50
671,540,BRIDGETON CITY,55,CHERRY STREET SCHOOL,KG-08,540-55
672,540,BRIDGETON CITY,60,INDIAN AVE SCHOOL,KG-08,540-60
673,540,BRIDGETON CITY,100,QUARTER MILE LANE SCHOOL,PK-08,540-100
674,540,BRIDGETON CITY,130,WEST AVENUE SCHOOL,KG-08,540-130
675,540,BRIDGETON CITY,150,GERALDINE O FOSTER EARLY CHILDHOOD CENTER,PK-PK,540-150
676,950,COMMERCIAL TWP,25,HALEYVILLE-MAURICETOWN ELEMENTARY SCHOOL,PK-05,950-25
677,950,COMMERCIAL TWP,50,PORT NORRIS MIDDLE SCHOOL,06-08,950-50
678,995,CUMBERLAND CO VOCATIONAL,30,JOHN F. SCARPA TECHNICAL EDUCATION CENTER OF CUMBERLAND COUNTY,09-12,995-30
679,997,CUMBERLAND REGIONAL,30,CUMBERLAND REGIONAL HIGH SCHOOL,09-12,997-30
680,1020,DEERFIELD TWP,40,DEERFIELD TOWNSHIP SCHOOL,PK-08,1020-40
681,1120,DOWNE TWP,45,DOWNE TOWNSHIP ELEMENTARY SCHOOL,PK-08,1120-45
682,1460,FAIRFIELD TWP,70,FAIRFIELD TOWNSHIP SCHOOL,PK-08,1460-70
683,1820,GREENWICH TWP,60,MORRIS GOODWIN SCHOOL,KG-08,1820-60
684,2270,HOPEWELL TWP,60,HOPEWELL CREST,KG-08,2270-60
685,2570,LAWRENCE TWP,30,MYRON L. POWELL ELEMENTARY SCHOOL,PK-08,2570-30
686,3050,MAURICE RIVER TWP,65,MAURICE RIVER TOWNSHIP SCHOOL,PK-08,3050-65
687,3230,MILLVILLE CITY,50,MILLVILLE SENIOR HIGH SCHOOL,09-12,3230-50
688,3230,MILLVILLE CITY,60,MEMORIAL HIGH SCHOOL,09-10,3230-60
689,3230,MILLVILLE CITY,65,R. M. BACON ELEMENTARY SCHOOL,KG-05,3230-65
690,3230,MILLVILLE CITY,68,CHILD FAMILY CENTER,PK-KG,3230-68
691,3230,MILLVILLE CITY,75,HOLLY HEIGHTS ELEMENTARY SCHOOL,KG-05,3230-75
692,3230,MILLVILLE CITY,77,LAKESIDE MIDDLE SCHOOL,06-08,3230-77
693,3230,MILLVILLE CITY,80,MOUNT PLEASANT ELEMENTARY SCHOOL,KG-05,3230-80
694,3230,MILLVILLE CITY,85,RIECK AVENUE ELEMENTARY SCHOOL,KG-05,3230-85
695,3230,MILLVILLE CITY,100,SILVER RUN ELEMENTARY SCHOOL,KG-05,3230-100
696,5070,STOW CREEK TWP,50,STOW CREEK TOWNSHIP SCHOOL,KG-08,5070-50
697,5300,UPPER DEERFIELD TWP,50,CHARLES F. SEABROOK SCHOOL,PK-03,5300-50
698,5300,UPPER DEERFIELD TWP,60,ELIZABETH F. MOORE SCHOOL,04-05,5300-60
699,5300,UPPER DEERFIELD TWP,70,WOODRUFF MIDDLE SCHOOL,06-08,5300-70
700,5390,VINELAND CITY,50,VINELAND SENIOR HIGH SCHOOL,09-12,5390-50
701,5390,VINELAND CITY,60,VETERANS MEMORIAL MIDDLE,06-08,5390-60
702,5390,VINELAND CITY,65,ANTHONY ROSSI MIDDLE SCHOOL,06-08,5390-65
703,5390,VINELAND CITY,75,GLORIA M SABATER ELEMENTARY SCHOOL,KG-05,5390-75
704,5390,VINELAND CITY,95,DANE BARSE ELEMENTARY SCHOOL,KG-05,5390-95
705,5390,VINELAND CITY,115,JOHN H. WINSLOW ELEMENTARY SCHOOL,KG-05,5390-115
706,5390,VINELAND CITY,120,JOHNSTONE ELEMENTARY SCHOOL,KG-05,5390-120
707,5390,VINELAND CITY,135,MARIE DURAND ELEMENTARY SCHOOL,KG-05,5390-135
708,5390,VINELAND CITY,160,MAX LEUCHTER,KG-05,5390-160
709,5390,VINELAND CITY,176,CASIMER M. DALLAGO JR. IMPACT CENTER,PK-PK,5390-176
710,5390,VINELAND CITY,230,SOLVE D'IPPOLITO ELEMENTARY SCHOOL,KG-05,5390-230
711,5390,VINELAND CITY,260,DR. WILLIAM MENNIES ELEMENTARY SCHOOL,KG-05,5390-260
712,5390,VINELAND CITY,270,PAULINE J. PETWAY ELEMENTARY SCHOOL,KG-05,5390-270
713,5390,VINELAND CITY,280,THOMAS W. WALLACE JR. MIDDLE SCHOOL,06-08,5390-280
714,250,BELLEVILLE TOWN,20,BELLEVILLE HIGH SCHOOL,09-12,250-20
715,250,BELLEVILLE TOWN,25,BELLEVILLE MIDDLE SCHOOL,06-08,250-25
716,250,BELLEVILLE TOWN,50,BELLEVILLE PS3,PK-05,250-50
717,250,BELLEVILLE TOWN,55,BELLEVILLE PS4,PK-05,250-55
718,250,BELLEVILLE TOWN,60,BELLEVILLE PS5,KG-05,250-60
719,250,BELLEVILLE TOWN,70,BELLEVILLE PS7,PK-05,250-70
720,250,BELLEVILLE TOWN,80,BELLEVILLE PS8,KG-05,250-80
721,250,BELLEVILLE TOWN,90,BELLEVILLE PS9,KG-05,250-90
722,250,BELLEVILLE TOWN,100,BELLEVILLE PS10,KG-05,250-100
723,410,BLOOMFIELD TWP,20,BLOOMFIELD HIGH SCHOOL,09-12,410-20
724,410,BLOOMFIELD TWP,30,BLOOMFIELD MIDDLE SCHOOL,07-08,410-30
725,410,BLOOMFIELD TWP,50,BERKELEY ELEMENTARY SCHOOL,KG-06,410-50
726,410,BLOOMFIELD TWP,60,BROOKDALE ELEMENTARY SCHOOL,KG-06,410-60
727,410,BLOOMFIELD TWP,80,CARTERET ELEMENTARY SCHOOL,KG-06,410-80
728,410,BLOOMFIELD TWP,100,DEMAREST ELEMENTARY SCHOOL,KG-06,410-100
729,410,BLOOMFIELD TWP,110,FAIRVIEW ELEMENTARY SCHOOL,KG-06,410-110
730,410,BLOOMFIELD TWP,120,THE EARLY CHILDHOOD CENTER @ FOREST GLEN,PK-KG,410-120
731,410,BLOOMFIELD TWP,130,FRANKLIN ELEMENTARY SCHOOL,KG-06,410-130
732,410,BLOOMFIELD TWP,140,OAK VIEW ELEMENTARY SCHOOL,PK-06,410-140
