GEO.id,,GEO.display-label,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13
Id,,Geography,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars)
8600000US08050,,ZCTA5 08050,75981,5713,90381,7285,101488,6559,37098,7238
8600000US08051,,ZCTA5 08051,79032,6607,97302,9690,106638,9089,47686,4016
8600000US08052,,ZCTA5 08052,57460,6788,73701,5308,90906,8820,34191,4672
8600000US08053,,ZCTA5 08053,94395,4158,113778,4019,127975,4367,54394,4812
8600000US08054,,ZCTA5 08054,92826,2658,109839,5915,123407,4636,58130,4639
8600000US08055,,ZCTA5 08055,112267,5987,127797,3521,137538,4660,52215,7217
8600000US08056,,ZCTA5 08056,158359,16319,162229,15600,169861,15271,48654,29218
8600000US08057,,ZCTA5 08057,132713,13068,163041,9411,184063,17370,47182,12899
8600000US08059,,ZCTA5 08059,73211,8794,83953,8538,91542,7018,40719,7421
8600000US08060,,ZCTA5 08060,79475,6736,101841,9148,113819,7554,45805,6044
8600000US08061,,ZCTA5 08061,144258,28313,150417,23884,151917,20422,110833,103602
8600000US08062,,ZCTA5 08062,125926,6521,139909,8456,155053,7288,39095,9587
8600000US08063,,ZCTA5 08063,62545,7521,76083,8775,89306,13615,31250,16954
8600000US08064,,ZCTA5 08064,-,**,-,**,-,**,-,**
8600000US08065,,ZCTA5 08065,68307,6628,83246,8009,91354,7195,51217,5054
8600000US08066,,ZCTA5 08066,49303,5100,63258,9203,84621,17251,37719,8737
8600000US08067,,ZCTA5 08067,78239,12040,102813,11723,112083,17411,37083,14549
8600000US08068,,ZCTA5 08068,58574,1844,70905,10369,99861,8904,41360,14754
8600000US08069,,ZCTA5 08069,49176,5304,63302,6265,75990,9696,31277,5512
8600000US08070,,ZCTA5 08070,62417,6811,80264,3585,93289,9482,33385,9024
8600000US08071,,ZCTA5 08071,74492,7895,96250,9065,106181,7376,42997,3056
8600000US08072,,ZCTA5 08072,66346,38943,65192,34794,-,**,-,**
8600000US08073,,ZCTA5 08073,193583,121595,104330,43879,123661,98424,-,**
8600000US08074,,ZCTA5 08074,-,**,-,**,-,**,-,**
8600000US08075,,ZCTA5 08075,79486,5363,95000,5794,110036,5845,48922,5876
8600000US08077,,ZCTA5 08077,97602,6498,112671,5808,124119,7302,57446,9329
8600000US08078,,ZCTA5 08078,61210,4214,70563,7189,89245,8306,39531,10919
8600000US08079,,ZCTA5 08079,42357,3694,61037,6362,95091,9613,26409,3707
8600000US08080,,ZCTA5 08080,97452,3803,109640,4575,119120,2975,45645,9548
8600000US08081,,ZCTA5 08081,83694,3833,94949,3287,111479,5428,49367,7807
8600000US08083,,ZCTA5 08083,69783,4904,88274,6681,97269,7760,46038,5856
8600000US08084,,ZCTA5 08084,72652,6888,89474,9030,99357,9292,39818,12308
8600000US08085,,ZCTA5 08085,111318,8056,123190,4359,132465,8796,67870,15189
8600000US08086,,ZCTA5 08086,78609,6022,101429,16161,116250,13136,50375,9596
8600000US08087,,ZCTA5 08087,63832,3044,77390,5662,86326,4099,39290,3762
8600000US08088,,ZCTA5 08088,77303,4474,96104,7270,105789,8288,36365,4477
8600000US08089,,ZCTA5 08089,63027,3556,79833,12947,92679,20917,25223,8932
8600000US08090,,ZCTA5 08090,87019,8288,94852,4265,105980,7210,48833,5900
8600000US08091,,ZCTA5 08091,59122,11075,69133,10395,74135,15342,29107,7737
8600000US08092,,ZCTA5 08092,81406,14597,108375,17408,121250,26104,43393,26273
8600000US08093,,ZCTA5 08093,54460,10330,79006,21304,99800,14457,35648,8856
8600000US08094,,ZCTA5 08094,73848,2589,87790,5318,105397,5332,36013,2748
